Title	Alternative Title	Year	Director	ASL	Country	Scope	Cinematographer	Editor	Studio
Quattro volte, le 		2010	Frammartino, Michelangelo 	28.66			Locatelli, Andrea 	Attria, Benni & Grillo, Maurizio 	
Que la b?te meure 	Beast Must Die, The 	1969	Chabrol, Claude 	12.82			Rabier, Jean 	Gaillard, Jacques 	
Queen Bee 		1955	MacDougall, Ranald 	15.7	USA 		Lang, Jr., Charles B 	Lawrence, Viola 	COL
Queen Kelly 		1928	Stroheim, Erich von 	5.5	USA 				
Queen of Spades, The 		1948	Dickinson, Thorold 	10.3	BRI 				
Queen of the Damned 		2002	Rymer, Michael 	4.8			Baker, Ian 	Cooper, Dany 	WVR
Queen, The 		2006	Frears, Stephen 	5.79	BRI 		Beato, Affonso 	Zucchetti, Lucia 	GRA
Quel maledetto giorno d'inverno 	That Damned Day at Dawn 	1970	Fidani, Demofilo 	6.59	ITA 		Villa, Franco 	Bruna, Piera 	
Quentin Durward 		1955	Thorpe, Richard 	7.69	USA 	s 	Challis, Christopher 	Walter, Ernest 	MGM
Quest, The 		1996	Damme, Jean-Claude Van 	3	USA 		Gribble, David 	Link, J. & Meshover, 	
Quick and the Dead, The 		1995	Raimi, Sam 	4.2	USA 		Spinotti, Dante 	Scalia, Pietro 	
Quick Gun, The 		1964	Salkow, Sidney 	6.97	USA 	s 	Shorr, Lester 	Whytock, Grant 	
Quicksand 		1950	Pichel, Irving 	15.25	USA 		Lindon, Lionel 	Thompson, Walter 	
Quicksand 		2003	McKenzie, John 	3.73			McGill, Walter 	Walker, Graham 	
Quiet American, The 		2002	Noyce, Phillip 	4.6			Doyle, Christopher 	Scott, John 	
Quiet City 		2007	Katz, Aaron 	21.83	USA 		Reed, Andrew 	Katz, Aaron 	
Quiet Days in Hollywood 		1997	Rusnak, Josef 	5.6	GER 		Lohmann, Dietrich 	Koefoed, Christopher 	
Quiet Man, The 		1952	Ford, John 	9.76	USA 		Hoch, Winton 	Murray, Jack 	REP
Quiet Please, Murder 		1942	Larkin, John 	11.9	USA 		MacDonald, Joseph 	Loeffler, Louis 	FOX
Quiet Weekend 		1946	French, Harold 	11.6	BRI 		Cross, Eric 	Newton, Flora 	ABP
Quigley Down Under 		1990	Wincer, Simon 	4.99	USA 	s 	Egby, David 	Carr, Adrian 	PE
Quiller Memorandum, The 		1966	Anderson, Michael 	8.33	BRI 	s 	Hillier, Erwin 	Wilson, Frederick 	
Quills 		2000	Kaufman, Phillip 	5.6			Stoffers, Rogier 	Boyle, Peter 	FOX
Quo Vadis? 		1951	LeRoy, Mervyn 	6.5	USA 		Surtees, Robert 		WAR
R100 		2013	Matsumoto Hitoshi 	6.01	JAP 		Tanaka Kazunari 	Honda Yoshitaki 	
Raaz 		2001	Bhatt, Vikram 	5.2	IND 	s 	Bhatt, Praveen 	Saxena, Amit 	
Rabbit Hole 		2010	Mitchell, Cameron 	4.94	USA 		DeMarco, Frank G. 	Klotz, Joe 	
Rabbit-Proof Fence 		2002	Noyce, Philip 	5.45	AUS 		Doyle, Christopher 	Scott, J. & Jenet, V 	
Race the Sun 		1996	Kanganis, Charles T. 	4	USA 		Burr, David 	Bricmont, Wendy Gree 	TRI
Race to Space 		2001	McNamara, Sean 	3.76		s 	Sebaldt, Christian 	Hobson, Gregory 	
Race to Witch Mountain 		2009	Fickman, Andy 	2.2	USA 	s 	Gardiner, Greg 	Rennie, David 	DIS
Rachel and the Stranger 		1948	Foster, Norman 	8.3	USA 		Gertsman, Maury 	Millbrook, Les 	RKO
Rachel, Rachel 		1968	Newman, Paul 	6.5	USA 		Rescher, Gayne 	Allen, Dede 	WB7
Racing Stripes 		2004	Du Chau, Frederik 	3.18			Eggby, David 	Tinan, Tom 	
Racket, The 		1951	Cromwell, John 	8.4	USA 		Diskant, George E. 	Todd, Sherman 	RKO
Radio Flyer 		1992	Donner, Richard 	4	USA 		Kovacs, Laszlo 	Baird, Stuart 	COL
Radio Inside 		1994	Bell, Jeffrey 	8.2	USA 	s 	Capener, Brian 	Clark, Jim 	
Radio On 		1979	Petit, Christopher 	23.53	BRI 		Schaeffer, Martin 	Sloman, Anthony 	
Radioland Murders 		1994	Smith, Mel 	2.94	USA 		Tattersal, David 	Trejo, Paul 	
Raffl 		1985	Berger, Christian 	13.7	OST 		Berger, Christian 		
Raffles 		1930	D'Arrast & Fitzmaurice 	10.3	USA 		Barnes & Toland 	Heisler, Stuart 	GOL
Rag Doll 		1960	Comfort, Lance 	12.2	BRI 		Emmott, Basil 	Pitt, Peter 	
Rage at Dawn 		1955	Whelan, Tim 	8.7	USA 		Rennahan, Ray 	Marker, Harry 	RKO
Rage in Harlem, A 		1991	Duke, Bill 	5.1	USA 		Kurita, Toyomichi 	Claxton, Curtiss 	
Rage on Ice 		1986	Lord, Jean-Claude 	3.8	CAN 		Chentrier, Bernard 	Wiggins, Bill 	
Rage: Carrie 2, The 		1999	Shea, Katt 	4.7	USA 		Morgan, Donald M. 	Nord, Richard 	
Raging Bull 		1980	Scorsese, Martin 	6.31	USA 		Chapman, Michael 	Schoonmaker, Thelma 	
Ragione per vivere e una per morire, Una 	Reason to Live and a Reason To Die, A 	1972	Valerii, Tonino 	5.77		s 	Besch, Alexander 	Brill, Franklin 	
Raid on Rommel 		1971	Hathaway, Henry 	4.84	USA 	s 	Rath, Earl 	Palmer, Gene 	UNI
Raid, The 		1954	Fregonese, Hugo 	8.5	USA 				
Raid: Redemption, The 		2011	Evans, Gareth Huw 	3.99			Flannery, Matt & Subhono. Dima Imam 	Evans, Gareth Huw 	
Raiders of Letye Gulf, The 		1963	Romero, E.F. 	6.77			Do?a, Arsenio 	Romero, Eddie 	
Raiders of the Lost Ark 		1981	Spielberg, Steven 	4.4	USA 	s 	Slocombe, Douglas 	Kahn, Michael 	PAr
Raiders, The 	Riders of Vengeance 	1952	Selander, Lesley 	8.19	USA 		Guthrie, Carl 	Weatherwax, Paul 	UNI
Raiders, The 		1963	Daugherty, Herschel 	4.9			Thackery, Bud 	Palmer, Gene 	UNI
Railroaded! 		1947	Mann, Antony 	10.23	USA 		Roe, Guy 	Sackin, Louis H. 	PRC
Rails into Laramie 		1954	Hibbs, Jesse 	10.8	USA 		Gertsman, Maury 	Kent, Ted J. 	UNI
Railway Children, The 		1971	Jeffries, Lionel 	5.88	BRI 		Ibbetson, Arthur 	Darvas, Teddy 	EMI
Rain 		2000	Wilson, Robert J. 	5.5	USA 		Luckenbach, David 	Glauberman, Dana 	
Rain Man 		1988	Levinson, Barry 	6.64	USA 		Seale, John 	Linder, Stu 	
Rain or Shine 		1930	Capra, Frank 	10.4	USA 		Walker, Joseph 	Wright, Maurice 	COL
Rainbow 		1995	Hoskins, Bob 	4.8			Francis, Freddie 	Sidaway, Ashley 	
Rainbow, The 		1988	Russell, Ken 	6.5			Williams, Billy 	Davies, Peter 	VES
Rainmaker, The 		1956	Anthony, Joseph 	15.1	USA 	s 	Lang, Charles B. 	Low, Warren 	PAR
Rains of Ranchipur, The 		1955	Negulesco, Jean 	16.3	USA 	s 	Krasner, Milton 	Spencer, Dorothy 	FOX
Raintree County 		1957	Dmytryk, Edward 	10	USA 	s 	Surtees, Robert 	Dunning, John 	MGM
Raise the Titanic 		1980	Jameson, Jerry 	5.56	USA 		Leonetti, Matthew 	Williams & Zinner 	
Raising Arizona 		1987	Coen, Joel 	4.07	USA 		Sonnenfeld, Barry 	Miller, Michael R. 	
Raising Cain 		1992	De Palma, Brian 	6.47	USA 		Burum, Stephen H. 	Hirsch, Koehler, Dalva 	UNI
Raising Helen 		2004	Marshall, Garry 	4.54	USA 		Minsky, Charles 	Green, B. & Timpone 	
Raising the Wind 		1961	Thomas, Gerald 	4.54	BRI 		Hume, Alan 	Shirley, John 	AAM
Raising Victor Vargas 		2002	Sollett, Peter 	6.02	USA 		Orr, Tim 	Kerstein, Myron 	
Raj Nakarti 	Court Dancer, The 	1941	Bose, Modhu 	9.7	IND 		Das, Jyotin 	Das, Shyam 	
Raja Babu 		1994	Dhawan, David 	5.8	IND 		Kinagi, Rajan 	Muthu, A. 	
Raja Hindustani 		1996	Dharshan, Dharmesh 	5.8	IND 	s 	Rao, W.B. 	Bharat 	
Rambo 		2007	Stallone, Sylvester 	1.91		s 	MacPherson, Glen 	Albertson, Sean 	
Rambo III 		1988	MacDonald, Peter 	2.3	USA 		Stanier, John 	Warschilka, Edward A 	CAR
Rambo: First Blood, Part II 		1985	Cosmatos, George Pan 	2.7	USA 	s 	Cardiff, Jack 	Goldblatt & Helfrich 	CAR
Ramona and Beezus 		2010	Allen, Elizabeth 	3.19	USA 	s 	Bailey, John 	Moran, Jane 	
Rampage 		1963	Karlson, Phil 	6	USA 		Lipstein, Harold 	Milford, Gene 	7AR
Rampart 		2011	Moverman, Oren 	7.53	USA 	s 	Bukowski, Bobby 	Rabinowitz, Jay 	
Rancho Notorious 		1952	Lang, Fritz 	8.89	USA 		Mohr, Hal 	Ludwig, Otto 	
Rancid Aluminium 		1999	Thomas, Ed 	5.5	BRI 		Imi, Tony 	Lawrence, Chris 	
Random Harvest 		1942	LeRoy, Mervyn 	15.3	USA 		Ruttenberg, Joseph 	Kress, Harold F. 	MGM
Random Hearts 		1999	Pollack, Sydney 	4.5	USA 		Rousselot, Philippe 	Steinkamp, Wiliam 	COL
Randy Rides Alone 		1934	Fraser, Harry 	8.8	USA 		Stout, Archie 	Pierson, Carl 	
Rangeela 	Full of Colour 	1995	Varma, Ram Gopal 	7	IND 		Rao, W.B. 	Nivas 	
Rangers attaco ora x 		1970	Montero, Roberto B. 	5.83	ITA 		Capiriotti, Mario 	Bianchini, Cesare 	
Ransom 		1975	Wrede, Casper 	6.2	BRI 		Nykvist, Sven 	Boyd-Perkins, Eric 	
Ransom 		1996	Howard, Ron 	3.9	USA 		Sobocinski, Piotr 	Hanley, D. & Hill, M 	TOU
Rapt 		2009	Belvaux, Lucas 	10.45		s 	Milon, Pierre 	Anezin, Danielle 	
Rare Breed, The 		1966	McLagen, Andrew V. 	5.6	USA 	s 	Clothier, William H. 	Schoengarth, Russell 	
Rare Exports from the Land of the Real Santa Claus 	Rare Exports: A Christmas Tale 	2010	Helander, Jaimari 	4.66			Orasmaa, Mika 	Tavila, Kimmo 	
Rashomon 		1950	Kurosawa, Akira 	12.5	JAP 		Miyagawa, Kazuo 		
Rasputin and the Empress 		1932	Boleslawski, Richard 	9.6	USA 		Daniels, William 	Held, Tom 	MGM
Rasputins Liebesabenteuer 		1928	Berger, Martin 	5	GER 				
Rat 		2000	Barron, Steve 	6			Galvin, Brendan 	Yardley, David 	
Rat Race 		2001	Zucker, Jerry 	3.34	USA 		Ackerman, Thomas 	Lewis, Tom 	PAR
Rat, The 		1925	Cutts, Graham 	7	BRI 				
Ratboy 		1986	Locke, Sondra 	3.9	USA 		Surtees, Bruce 	Cox, Joel 	
Ratcatcher 		1999	Ramsay, Lynne 	8.5	BRI 		Kuchler, Alwin 	Zuchetti, Lucia 	
Rattle of a Simple Man 		1964	Box, Muriel 	7.6	BRI 		Wyer, Reg 	Wilson, Frederick 	ABP
Ratto delle Sabine, il 	Romulus and the Sabines 	1961	Pottier, Richard 	9.91		s 	Albertini, Adalberto 	Alabiso, Enzo & Martin,Yvonne 	
Ravagers, The 		1965	Romero, Eddie 	6.64			Rasca, Mars 	Glub, Joven 	
Raven, The 		2012	McTeigue, James 	3.79		s 	Ruhlman, Danny 	Howie, Niven 	
Ravenous 		1999	Bird, Antonia 	2.8	USA 		Richmond, Anthony B. 	Farrell, Neill 	FOX
Raw Deal 		1986	Irvin, John 	4.53	USA 		Thomson, Alex 	Coates, Anne V. 	DDL
Raw Edge 		1956	Sherwood, John 	7	USA 		Gertsman, Maury 	Schoengarth, Russell 	UNI
Rawhide Years, The 		1956	Maté, Rudolf 	7.4	USA 		Glassberg, Irving 	Schoengarth, Russell 	UNI
Ray 		2004	Hackford, Taylor 	3.75	USA 		Edelman, Pawel 	Hirsch, Paul 	
Rayon vert, le 	Green Ray, The 	1986	Rohmer, Eric 	17.06	FRA 		Maintigneux, Sophie 	Garcia, Maria Luisa 	
Razorback 		1984	Mulcahy, Russell 	3.24	AUS 		Semler, Dean 	Anderson, William 	
Razor's Edge, The 		1946	Goulding, Edmund 	28	USA 		Miller, Arthur 		FOX
Reach for the Sky 		1956	Gilbert, Lewis 	7.23	BRI 		Asher, Jack 	Shirley, John 	
Reader, The 		2008	Daldry, Stephen 	5.42			Deakins, R. & Menges, C. 	Simpson, Claire 	
Real Blonde, The 		1995	DeCillo, Tom 	6.4	USA 		Prinzi, Frank 	Tonioli & Deguchi 	
Real Howard Spitz, The 		1998	Jean, Vadim 	6.2			MacPherson, Glen 	Di Ciaula, Pia 	
Real McCoy, The 		1993	Mulcahy, Russell 	4.31	USA 		Grossan, Dennis 	Honess, Peter 	
Real Women Have Curves 		2002	Cardoso, Patricia 	5.13	USA 		Denault, Jim 	Klevin, Sloane 	HBO
Reality Bites 		1994	Stiller, Ben 	6.56			Lubezki, Emmanuel 	Churgin, Lisa 	UNI
Re-Animator 		1985	Gordon, Stuart 	7.52	USA 		Ahlberg, Mac 	Percy, Lee 	
Reaping, The 		2006	Hopkins, Stephen 	3.06			Levy, Peter 	Parker, Jr., Colby 	
Rear Window 		1954	Hitchcock, Alfred 	8.3	USA 		Burks, Robert 	Tomasini, George 	UNI
Reasonable Man, A 		1999	Hood, Gavin 	5.1			Reynolds, Buster 	Beukes, Avril 	
Reasons of the Heart 		1996	Jacobson, Rick 	5.02	USA 		Neuwirth, Thomas 	Bornstein, Ken 	
Rebecca 		1940	Hitchcock, Alfred 	9	USA 		Barnes, George 	Kern, Hal C. 	
Rebecca of Sunnybrook Farm 		1917	Neilan, Marshall 	5	USA 				ART
Rebel Without a Cause 		1955	Ray, Nicholas 	7.4	USA 	s 	Haller, Ernest 	Ziegler, William 	WAR
Rebel, The 		1961	Day, Robert 	7	BRI 				
Rebell, Der 		1932	Trencker, L & Bernhardt,K 	5.5	GER 		Allgeier, Benitz etc 		DUF
Rebound 		2005	Carr, Steve 	2.72	USA 		MacPherson, glen 	Herring, Craig 	FOX
Rebound, The 		2009	Freundlich, Bart 	3.73	USA 	s 	Freeman, Jonathan 	Telefsen, Chistopher 	
Reckless Kelly 		1993	Serious, Yahoo 	3.5	AUS 	s 	Hayward, Kevin 	Serious & Roach, D. 	
Reckless Moment, The 		1949	Ophuls, Max 	15.5	USA 		Guffey, Burnett 		
Reckoning, The 		2001	McGuigan, Paul 	4.83			Sova, Peter 	Hume, Andrew 	
Recruit, The 		2002	Donaldson, Roger 	4.37	USA 	s 	Dryburgh, Stuart 	Rosenbloom, David 	TOU
RED 		2010	Schwentke, Robert 	3.52	USA 	s 	Ballhaus, Florian 	Noble, Thom 	SUM
Red Ball Express 		1952	Boetticher, Budd 	8.05	USA 		Gertsman, Maury 	Curtiss, Edward 	UNI
Red Baron, The 	Rote Barone, der 	2008	Muellerschoen, Nikolai 	4.52		s 	Merkel, Klaus 	Retzer, Mansce, Scott 	
Red Beard 		1965	Kurosawa, Akira 	21	JAP 	s 	Nakai, A. & Saito, T 		TOH
Red Beret, The 		1953	Young, Terence 	5.1	BRI 		Wilcox, John 	Pilkington, Gordon 	
Red Canyon 		1949	Sherman, George 	6.2	USA 		Glassberg, Irving 	Ludwig, Otto 	UNI
Red Cliff 		2008	Woo, John 	2.39	CHI 	s 	Lu Yue & Zhang Li 	Wu, David & Yang Hong Yu 	
Red Corner 		1997	Avnet, Jon 	3.6	USA 		Lindenlaub, Karl Wal 	Berger, Peter E. 	MGM
Red Dawn 		1984	Milius, John 	5.98	USA 		Waite, Ric 	Noble, Thom 	
Red Dragon 		2002	Ratner, Brett 	4.85	USA 		Spinotti, Dante 	Helfrich, Mark 	
Red Dust 		1932	Fleming, Victor 	10.5	USA 				
Red Dust 		2004	Hooper, Tom 	4.6			Smith, Larry 	Beukes, Avril 	BBC
Red Eye 		2005	Craven, Wes 	2.83	USA 		Yeoman, Robert D. 	Levy, S. & Lussier, P. 	DWK
Red Heat 		1988	Hill, Walter 	4.16	USA 		Leonetti, Matthew F. 	Davies, F. & Aron, D. 	TRI
Red Hill 		2010	Hughes, Patrick 	4.98	AUS 	s 	Hudson, Tim 	Hughes, Patrick 	
Red Light 		1949	Del Ruth, Roy 	8.4	USA 		Glennon, Bert 	Heerman, Victor 	
Red Lights 		2003	Kahn, Cédric 	16.62	FRA 		Blossier, Patrick 	Dedet, Yann 	
Red Lights 		2012	Cortés, Rodrigo 	2.73		s 	Gimenes, Xavi 	Cortés, Rodrigo 	
Red Planet 		2000	Hoffman, Antony 	3.5			Suschitsky, Peter 	Lambert, R. & Puett, 	WAR
Red Planet Mars 		1952	Horner, Harry 	10.9	USA 		Biroc, Joseph 	Lyon, Francis D. 	
Red Pony, The 		1949	Milestone, Lewis 	9.8	USA 		Gaudio, Tony 	Keller, Harry 	REP
Red River 		1948	Hawks, Howard 	7.8	USA 		Harlan, Russell 	Nyby, Christian 	
Red Road 		2006	Arnold, Andrea 	5.22			Ryan, Robbie 	Chaudeurge, Nicolas 	
Red Rock West 		1992	Dahl, John 	4.78	USA 		Reshovsky, Marc 	Chestnut, Scott 	PRO
Red Scorpion 		1989	Zito, Joseph 	4.1	USA 		Fernandes, Joao 	Lowenthal, David 	
Red Shoes, The 		1948	Powell, Michael 	8.53	BRI 				
Red Sonja 		1985	Fleischer, Richard 	4.45		s 	Rotunno, Giuseppe 	Urioste, Frank J. 	DDL
Red Sorghum 		1987	Yimou, Zhang 	9.7	CHI 				
Red Sundown 		1956	Arnold, Jack 	8	USA 		Snyder, William 	Curtiss, Edward 	UNI
Redacted 		2007	De Palma, Brian 	30.39	USA 		Cliff, Jonathon 	Pankow, Bill 	
Redhead From Wyoming, The 		1953	Sholem, Lee 	8.4	USA 		Hoch, Wnton 	Carruth, Milton 	UNI
Red-Headed Woman 		1932	Conway, Jack 	10.9	USA 		Rosson, Harold 	Sewell, Blanche 	MGM
Redline 		1997	Takacs, Tibor 	3.7	USA 		David, Zoltan 	Grieve, Neil 	NUI
Redneck Zombies 		1988	Lewnes, Pericles 	4.1	USA 		Davis, Ken 	Bishop, Edward 	
Reds 		1981	Beatty, Warren 	6.32	USA 		Storaro, Vittorio 	Allen, D. & McKay, C. 	
Reef, The 		2010	Traucki, Andrew 	2.98	AUS 	s 	Ardilley, Daniel 	Crombie, Peter 	
Reeker 		2005	Payne, Dave 	3.51	USA 		Mickens, Michael 	Barone, Daniel 	
Reflections on a Crime 		1994	Purdy, Jon 	11.7	USA 			Buckley, Norman 	
Reform School Girl 		1957	Bernds, Edward 	6.8	USA 		Crosby, Floyd 	Meyer, Richard C. 	AIP
Regain 		1937	Pagnol, Marcel 	18	FRA 		Willy 	Troye, Suzanne de 	FMP
Regarding Henry 		1991	Nichols, Mike 	11.69	USA 		Rotunno, Giuseppe 	O'Steen, Sam 	PAR
Regeneration 		1997	MacKinnon, Gillies 	9.1			MacPherson, Glen 	DiCiaula, Pia 	
R?gle du jeu, la 		1939	Renoir, Jean 	18	FRA 		Bachelet 		
Reign of Fire 		2001	Bowman, Rob 	3.6			Biddle, Adrian 	Noble, Thom 	
Reign Over Me 		2007	Binder, Mike 	5.73	USA 		Alsobrook, Russ 	Edwards, Steve & Roush, Jeremy 	
Reindeer Games 	Deception 	2000	Frankenheimer, John 	4.2	USA 	s 	Caso, Alan 	Gibbs, T. & Kahn, M. 	DIM
Reine Margot, la 		1994	Chéreau, Patrice 	5.78			Rousellot, Philippe 	Gédigier, F. & Viard, H. 	
Reitet fur Deutschland 		1941	Rabenalt, Arthur Maria 	8	GER 				
Relative Values 		2000	Styles, Eric 	4.44	BRI 		Dibling, Jimmy 	Limmer, Caroline 	
Relic, The 		1996	Hyams, Peter 	2.8	USA 	s 	Hyams, Peter 	Kemper, Steven 	
Remains of the Day, The 		1993	Ivory, James 	9.63	BRI 		Pierce-Roberts, Tony 	Marcus, Andrew 	COL
Rembrandt 		1942	Steinhoff, Hans 	9.5	GER 				
Remember Me 		2010	Coulter, Allen 	7.05	USA 		Freeman, Jonathan 	Mondshein, Andrew 	
Remember My Name 		1978	Rudolph, Alan 	14.4	USA 		Fujimoto, Tak 	Walls, T. & Sawyer, 	
Remember the Day 		1941	King, Henry 	9.6	USA 		Barnes, George 	McLean, Barbara 	FOX
Remember the Titans 		2000	Yakin, Boaz 	4.1	USA 	s 	Rousselot, Philippe 	Tronick, Michael 	
Remote Control 		1987	Lieberman, Jeff 	4.7	USA 		Suhrstedt, Timothy 	Wallace, Scott 	
Renaissance Man 		1994	Marshall, Penny 	4.32	USA 		Greenberg, Adam 	Bowers, G. & Davis,B 	
Rendezvous de Paris, les 		1994	Rohmer, Eric 	16.3	FRA 		Baratier, Diane 	Stephen, Mary 	
Rendition 		2007	Hood, Gavin 	5.45	USA 	s 	Beebe, Dion 	Gill, Megan 	NLI
Renegades 		1989	Sholder, Jack 	5.38			Meheux, Phil 	Biggerstaff, Caroline 	
Reno 		1939	Farrow, John 	18	USA 		Hunt, J. Roy 	Marker, Harry 	RKO
Reno 911!: Miami 		2007	Garant, Ben 	5.62	USA 		Kessler, Joe 	Retoua, John 	
Repentance 		1984	Abuladze, Tengiz 	15.1	RUS 			Amadze, Guliko 	
Replacement Killers, The 		1998	Fuqua, Antoine 	3	USA 		Collister, Peter Lyo 	Cassidy, Jay 	COL
Replicant 		2001	Lam, Ringo 	2.4	USA 		Southon, Mike 	Richardson, David M. 	
Repo Chick 		2009	Cox, Alex 	6.12	USA 		Fierberg, Steven 	Wool, Dan 	
Repo Man 		1984	Cox, Alex 	7.84			Muller, Robby 	Dolan, Dennis 	
Repulsion 		1965	Polanski, Roman 	20.8	BRI 		Taylor, Gilbert 	McIntyre, Alastair 	
Requiem for a Dream 		2000	Aronofsky, Darren 	2.85	USA 		Libatique, Matthew 	Rabinowitz, Jay 	
Res State 		2011	Smith, Kevin 	3.2	USA 		Klein, David 	Smith, Kevin 	
Rescue Dawn 		2006	Herzog, Werner 	11	USA 		Zeitlinger, Peter 	Bini, Joe 	
Reservoir Dogs 		1991	Tarantino, Quentin 	9	USA 	s 	Sherrod, Alan 	Menks, Sally 	LAI
Resident Evil 		2002	Anderson, Paul W.S. 	2.4			Johnson, David 	Berner, Alexander 	
Resident Evil: Apocalypse 		2004	Witt, Alexander 	1.64			Rogers, D. & Sebaldt 	Hamilton, Eddie 	
Resident Evil: Extinction 		2007	Mulcahy, Russell 	2.51		s 	Johnson, David 	Howie, Niven 	
Respiro 		2002	Crialese, Emanuele 	10.3			Zamarion, Fabio 	Franz, Didier 	
Ressources humaines 	Human Resources 	1999	Cantet, Laurent 	13.3	FRA 		Poirot-Delpech, Matt 	Campillo & Leger 	
Restless Natives 		1985	Hoffman, Michael 	7.1	BRI 		Stapleton, Oliver 	Barton, Sean 	
Restoration 		1995	Hoffman, Michael 	8.1	USA 		Stapleton, Oliver 	Craven, Garth 	MMX
Resurrected 		1989	Greengrass, Paul 	6.55	BRI 		Strasburg, Ivan 	Rae, Dan 	CH4
Resurrection 		1999	Mulcahy, Russell 	5	USA 		Freeman, Jonathan 	McLellan, Gordon 	
Resurrection Man 		1997	Evans, Marc 	9.1	BRI 		A?m, Pierre 	Wilson, John 	
Retreat, Hell! 		1952	Lewis, Joseph H. 	5.6	USA 		Lynch, Warren 	Blangsted, Folmar 	WAR
Retroactive 		1997	Morneau, Louis 	2.7	USA 		Mooradrian, George 	Garland, Glenn 	
Return From the River Kwai 		1988	McLagen, Andrew V. 	4.25			Wooster, Arthur 	Strachan, Alan 	
Return Home 		1989	Argall, Ray 	6.7	AUS 				
Return of a Man Called Horse, The 		1976	Kershner, Irvin 	8.06	USA 	s 	Roizman, Owen 	Kahn, Michael 	
Return of Frank James, The 		1940	Lang, Fritz 	8.16	USA 		Barnes, George 	Thompson, Walter 	FOX
Return of Godzilla, The 	Gojira 1985 	1984	Hashimoto, Kohji 	5	JAP 		Hara, Kazutami 	Kuroiwa, Yoshitami 	TOH
Return of the Badmen 		1948	Enright, Ray 	6.8	USA 		Hunt, J. Roy 	Beetley, Samuel 	RKO
Return of the Cisco Kid, The 		1939	Leeds, Herbert I. 	7.6	USA 		Clarke, Charles 	Clark, James B. 	FOX
Return of the Musketeers, The 		1989	Lester, Richard 	4.7			Lutic, Bernard 	Smith, John Victor 	
Return of the Pink Panther, The 		1974	Edwards, Blake 	7.97	BRI 	s 	Unsworth, Geoff 	Priestley, Tom 	
Return of the Scarlet Pimpernel, The 		1937	Schwartz, Hans 	8.4	BRI 				LON
Return of the Secaucus Seven 		1979	Sayles, John 	12.15	USA 		DeBesche, Austin 	Sayles, John 	
Return of the Seven 	Return of the Magnificent Seven 	1966	Kennedy, Burt 	6.06	USA 	s 	Vogel, Paul C. 	Bates, Bert 	MIR
Return of the Texas Chainsaw Massacre, the 	Texas Chainsaw Massacre: The Next Generation 	1994	Henkel, Kim 	4.5	USA 		Isaacks, Evie 	Adair, Sandra 	
Return to Macon County 		1975	Compton, Richard 	6.2	USA 		Marquette, Jacques 	Ehlers, Corky 	AIP
Return to Me 		2000	Hunt, Bonnie 	6.8	USA 		Kovacs, Laszlo 	Craven, Garth 	MGM
Return to Oz 		1985	Murch, Walter 	4.15			Watkin, David 	Hodgson, Leslie 	
Return to Paradise 		1998	Ruben, Joseph 	6.1	USA 		Villalobos, Reynaldo 	Mondshein & McKay 	PLY
Return to the Blue Lagoon 		1991	Graham, William A. 	5.37	USA 		Steadman, Robert 	Fagan, Ronald J. 	COL
Return to Two Moon Junction 		1994	Mann, Fahrad 	8.8	USA 		Byers, Frank 	Ryder-Rennolds, D. 	TRM
Return, The 		2003	Zvyaghtsev, Andrey 	11.33	RUS 		Kritchman, Mikhail 	Mogilevsky, Vladimir 	
Return, The 		2006	Kapadia, Asif 	5.83	USA 	s 	Osin, Roman 	Simpson, Claire 	
Reunion in France 		1942	Dassin, Jules 	12	USA 		Planck, Robert 		MGM
Reveille with Beverly 		1943	Barton, Charles 	10	USA 		Tannura, Philip 	Sweeney, James 	COL
Revelation 		2001	Urban, Stuart 	4.7	BRI 		McCurdy, Sam 	Rodd, Julia 	
Revelj 		1917	Klercker, Georg af 	11.5	SWE 		Florin, Carl-Gustaf 		HAS
Revenge of Frankenstein, The 		1958	Fisher, Terence 	10.3	BRI 				
Revenge of the Nerds 		1984	Kanew, Jeff 	4.7	USA 		Baggot, King 	Balsam, Alan 	FOX
Revenge of the Pink Panther 		1978	Edwards, Blake 	8.84	USA 	s 	Day, Ernest 	Jones, Alan 	
Revenger's Comedies, The 		1997	Mowbray, Malcolm 	5.2	BRI 		Winding, Romain 	Vince, Barrie 	BBC
Revengers, The 		1972	Mann, Daniel 	8.1	USA 		Torres, Gabriel 	Hannemann & Marino 	
Reversal of Fortune 		1990	Schroeder, Barbet 	7.7	USA 		Tovoli, Luciano 	Percy, Lee 	
Revolt of Mamie Stover, The 		1956	Walsh, Raoul 	15	USA 	s 	Tover, Leo 	Loeffler, Louis R. 	FOX
Revolution 		1985	Hudson, Hugh 	6.46		s 	Lutic, Bernard 	Baird, Stuart 	
Revolutionary Road 		2008	Mendes, Sam 	7.54	USA 	s 	Deakins, Roger 	Anwar, Tariq 	DWK
Revolver 		2005	Ritchie, Guy 	2.82	BRI 		Maurice-Jones, Tim 	Aluwhare, Differ, Herbert 	
Reye de Montana, el 	King of the Hill 	2007	Lopez-Gallego, Gonzalo 	4.07	SPA 		Montero, Jose Davo 	Lopez-Gallego, Gonzalo 	
Rich and Strange 	East of Suez 	1932	Hitchcock, Alfred 	7	BRI 		Cox, J. & Martin, C. 	Cooper & Harrison 	
Rich Kids 		1979	Young, Robert M. 	8.6	USA 		Bode, Ralf D. 	Beyer, Edward 	
